[JIT-TIMING] lectura                            0.20 ms
[JIT-TIMING] lexer                              0.17 ms
[JIT-TIMING] parser                             0.23 ms
[JIT-TIMING] cach├® CLSÔåÆWASM: HIT (2226 bytes)
[JIT-TIMING] Engine::default                    2.80 ms
[JIT-TIMING] Module::new (Cranelift)            9.33 ms
[JIT-TIMING] Store+Linker                       0.17 ms
[JIT-TIMING] register hosts                     2.61 ms
[JIT-TIMING] instantiate                        0.67 ms
[JIT-TIMING] write_args                         0.18 ms
[JIT-TIMING] ejecuci├│n main                     0.30 ms
